name,address,category,phone,website,email,rating,total_ratings,place_id
American Air Repair,"1819 Blazers Trail, Lakeland, FL 33809, USA",Hvac Contractor,(813) 802-2183,https://americanairrepairllc.com/?utm_source=omg-gbp&utm_medium=webclick,rkinney9686@gmail.com,5,352,ChIJAQCUIw2SwogRKL9MJIEIhXQ
CAMS A/c -N- Plumbing,"2315 Timbercreek Loop E, Lakeland, FL 33805, USA",Hvac Contractor,(863) 279-8743,https://www.camsairconditioning.com/,,5,109,ChIJ_16NAVxB3YgRBpWkqwb3M-0
Egberts Electric and Air Conditioning,"5675 New Tampa Hwy suite 12, Lakeland, FL 33815, USA",Hvac Contractor,(863) 262-7465,https://egbertsair.com/heat-pump-repair-in-lakeland-fl/?utm_source=google&utm_medium=organic&utm_campaign=gbp_lakeland,,4.8,1612,ChIJu_QuhSGKNmER3iqBItztcdQ
Payne Air Conditioning & Heating,"1048 E Oleander St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 282-7984,https://payneair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,4.6,468,ChIJS_fxaE8_3YgR4tJiAJIxKk8
One Hour Air Conditioning & Heating,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Hvac Contractor,(863) 213-0644,https://lakelandonehour.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,,4.8,1959,ChIJnUa1cFcV3YgRerD3K0Y6VQQ
Wards Air Conditioning,"865 Creative Dr, Lakeland, FL 33813, USA",Hvac Contractor,(863) 225-7202,https://www.wardsairconditioning.com/,,4.7,330,ChIJQRGQkuY73YgReCPl2nVAkzo
"Springer Bros. Air Conditioning & Heating, LLC","412 Dixie Hwy, Auburndale, FL 33823, USA",Hvac Contractor,(863) 967-0449,https://springerbros.net/?utm_source=Website&utm_medium=GMB,derek@springerbrosac.com,4.9,1489,ChIJ2TvwFSFr3YgR6dKkjvYVILo
Iceberg Home Services N Lakeland,"5515 US Hwy 98 N #5, Lakeland, FL 33809, USA",Hvac Contractor,(863) 216-6375,https://icebergcooling.com/,,4.9,46,ChIJA-uLYvVH3YgRirwS8tSHu54
Frank Gay Services,"6810 New Tampa Hwy #200, Lakeland, FL 33815, USA",Hvac Repair,(863) 315-5698,https://frankgayservices.com/service-area/lakeland/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*106*frank-gay-lakeland,ask@frankgayservices.com,4.8,4525,ChIJS5KfaMo33YgRf4uJOfsQoII
Acu-Temp Heating & Cooling,"1090 N Galloway Rd, Lakeland, FL 33810, USA",Air Conditioning,(863) 682-3803,http://www.acu-temp.com/,,4.8,130,ChIJLU4BEpw_3YgRAKOftU3_DwM
Polk Air Conditioning & Heating,"1925 Thornhill Rd Suite 2009, Auburndale, FL 33823, USA",Air Conditioning,(863) 968-2004,https://polkairconditioning.net/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Auburndale-FL,,4.9,1053,ChIJz5uz6tEU3YgRh-2s8rA8JaY
Stuart's Plumbing,"3233 US-98, Lakeland, FL 33803, USA",Plumber,(863) 877-3108,http://www.stuartsplumbing.com/,,4.9,1558,ChIJrfNtOf0-3YgRLPkB8twx33w
Vanguard Plumbing,"4030 Kidron Rd Suite 7, Lakeland, FL 33811, USA",Plumber,(863) 343-1540,https://vanguardpl.com/,info@vanguardplumbingair.com,4.8,514,ChIJe8fO4MxB8IYRsiUyC48OpCI
Benjamin Franklin Plumbing,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Plumber,(863) 322-0012,https://lakelandbenjaminfranklin.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,,4.8,932,ChIJ_XCDHQBH3YgRxmEtyICTrGo
All Pro Plumbing & Air,"3825 Florida Ave S Suite 4B, Lakeland, FL 33813, USA",Plumber,(813) 616-1851,https://callthepro.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-profile-lakeland,accounting@callthepro.com,4.6,343,ChIJYcvckI453YgRr19BhoVC0A8
Pro Plumbing LLC,"1457 E Gary Rd, Lakeland, FL 33801, USA",Plumber,(863) 669-1905,http://originalplumber.com/,proplumbing1@originalplumber.com,4.8,29,ChIJ7_K5GEM_3YgRU34mB_kTVTI
Richard C Fox Plumbing,"1103 Lakeland Hills Blvd, Lakeland, FL 33805, USA",Plumber,(863) 816-9414,https://richardfoxplumbing.com/,info@richardfoxplumbing.com,4.4,156,ChIJN_AvWbQ43YgRZGD-T4fvwP8
1-Tom-Plumber,"5715 Ross Creek Rd, Lakeland, FL 33810, USA",Plumber,(863) 225-1411,https://www.1tomplumber.com/lakeland-fl/,lakeland@1tomplumber.com,5,403,ChIJ448gR4xH3YgR_58z3_phMcc
OnDeck Plumbing - Lakeland Plumber,"3702 Century Blvd, Lakeland, FL 33811, USA",Plumber,(863) 640-1922,https://ondeckplumbing.com/,,4.7,110,ChIJkSAtjWI53YgREWT_YitYwsU
Gillum-Waddell Plumbing Co,"2450 Commerce Point Dr, Lakeland, FL 33801, USA",Plumber,(863) 665-6222,http://www.gwplb.com/,,4.6,141,ChIJxQwIfgA_3YgRhO7T40nRu6I
"Centerstate Plumbing Services, LLC","3110 Reynolds Rd #123, Lakeland, FL 33803, USA",Plumber,(863) 669-6008,http://www.centerstateplumbing.com/,,4.9,43,ChIJc-j9lL053YgRToeLHufDGJ4
Top Notch Plumbers Lakeland,"134 Courtland Cir, Lakeland, FL 33803, USA",Plumber,(863) 400-2727,,,5,57,ChIJGaOXlr_8yEUR6rYUyRrrt4k
Samco Plumbing Inc,"3837 Progress Dr, Lakeland, FL 33811, USA",Plumber,(863) 509-1718,https://www.samcoplumbing.com/,,4.7,139,ChIJsaSCa1833YgRASNc93e3AC8
True Plumbers & AC,"3705 Frontage Rd N, Lakeland, FL 33810, USA",Plumber,(863) 667-6364,https://trueplumbers.com/plant-city?utm_source=GMBlisting&utm_medium=Organic,cheyenne@true-builders.com,4.8,1093,ChIJcw_Uq0053YgRehfUYgCinOw
Reel Plumbers of Central Florida,"6155 Florida Ave S, Lakeland, FL 33813, USA",Plumber,(863) 450-8908,,,4.9,112,ChIJbZKQnPE73YgRzxsfy2Eruy8
Before You Dig LLC,"1221 Edgewater Dr, Lakeland, FL 33805, USA",Plumber,(863) 267-4852,https://bydservices.com/clogged-drains/,,5,238,ChIJkcRo_uY_3YgRnHTwnWUm_4c
Plumb Pro,"4237 Holden Rd, Lakeland, FL 33811, USA",Plumber,(813) 442-5599,https://www.plumbpro-llc.com/,info@plumbpro-llc.com,4.9,74,ChIJ_00pFzI53YgRR25EcxbKlKs
AP Drain Service LLC Plumbing And Septic,"4856 S Dossey Rd, Lakeland, FL 33811, USA",Plumber,(863) 617-2121,http://www.apdrainservice.com/,,4.9,59,ChIJP7jNEAE53YgRuMUWA_byeQ4
Smith’s Repairs and Services LLC,"815 Shadow Dr, Lakeland, FL 33809, USA",Plumber,(813) 860-8461,https://www.smithsrepairsandservices.com/,,5,13,ChIJc4L_qzJffCMRTh6xkhgxvjI
True Plumbers & AC,"4000 N Frontage Rd, Plant City, FL 33565, USA",Plumber,(863) 667-6364,https://trueplumbers.com/lakeland?utm_source=GMBlisting&utm_medium=Organic,cheyenne@true-builders.com,4.8,694,ChIJoV5mi9U53YgR4zPgW94qca8
Lakeland | Plumbing Repairs,"3229 US Hwy 98 N, Lakeland, FL 33805, USA",Plumbing Repair,(863) 333-5252,https://www.plumbinglakeland.com/contact-page,,5,1,ChIJX0t8kkZH3YgR-kqBHZDcqDQ
Roto-Rooter Plumbing & Drain Services,"2306 Old Combee Rd #101, Lakeland, FL 33805, USA",Emergency Plumber,(863) 940-4270,https://www.rotorooter.com/lakeland/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,,4.7,925,ChIJeTgKsqk_3YgRSGWdxYR--1w
Stronghold Roofing & Solar,"Martin Luther, 505 Martin L King Jr Ave, Lakeland, FL 33815, USA",Roofing Contractor,(863) 400-3323,https://strongholdroofing.com/?utm_campaign=gmb&utm_medium=gmb&utm_source=google,,4.9,441,ChIJW6T1iuE73YgR66VLy7O-gEE
K.L. Smith Inc.,"2519 Buckskin Rd, Lakeland, FL 33801, USA",Roofing Contractor,(863) 500-7611,https://www.klsmithinc.com/,,4.9,269,ChIJm3z3DNM_3YgRnFJHwZeLOCQ
RIG Roofing of Lakeland,"122 E Main St #173, Lakeland, FL 33801, USA",Roofing Contractor,(863) 294-4477,https://rigroofing.com/service-area/polk-county/lakeland,support@rigroofing.com,4.8,164,ChIJs0WSiOk53YgRBeeWEHKPTiw
High Tower Roofing,"5302 Florida Ave S STE 208, Lakeland, FL 33813, USA",Roofing Contractor,(863) 510-5477,http://hightowerroofing.com/,,4.8,594,ChIJ9Vxtdf073YgRlw_aFMY5a80
Priority Roofing,"4460 Florida National Dr Suite 4460-2, Lakeland, FL 33813, USA",Roofing Contractor,(863) 701-4746,https://priorityroofs.com/location/lakeland/,coloradosprings@priorityroofs.com,4.9,115,ChIJT8mR1ok53YgRw2egCUXhGik
Musick Roofing,"3600 County Line Rd, Lakeland, FL 33811, USA",Roofing Contractor,(863) 904-5350,http://www.musickroofing.com/,,4.9,205,ChIJX7-Mp6Y53YgRkDtPny6-kxc
Lakeland Roofing Installation,"3823 Old Salem Rd, Lakeland, FL 33811, USA",Roofing Contractor,(863) 250-2766,,,4.9,37,ChIJ4-N2SCg73YgRPsDW5v-OiVQ
Gullett Roofing,"535 Bracey Rd, Lakeland, FL 33809, USA",Roofing Contractor,(863) 412-2821,http://www.gullettroofing.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,5,169,ChIJdRXew4RH3YgRbP5qENk6HEA
"Ring Roofing, Inc.","1329 E Main St, Lakeland, FL 33801, USA",Roofing Contractor,(863) 337-5139,https://www.ringroofingfl.com/,,4.2,61,ChIJeR1oZFA_3YgRYKg4TnhbFbA
Five Points Roofing,"2587 Colonel Ford Dr, Lakeland, FL 33813, USA",Roofing Contractor,(863) 660-5834,https://fivepointsroofingfl.com/,fivepointsroofingfl@gmail.com,5,67,ChIJx64HM7fcmCERr32qJoXMh-0
Trimm Roofing,"2500 Drane Field Rd STE 101, Lakeland, FL 33811, USA",Roofing Contractor,(863) 276-6300,https://trimmroofing.com/,,4.9,132,ChIJ_XsINt853YgR5X-qaocSNfk
Eustis Roofing Company,"2500 Drane Field Rd Suite 103, Lakeland, FL 33811, USA",Roofing Contractor,(863) 340-7653,http://eustisroofing.com/?utm_campaign=GBPEustis,info@eustisroofing.com,4.9,121,ChIJjWdi4Wc53YgR2Rm1btQx9l4
W.D. Hutchinson Roofing LLC,"1717 W Memorial Blvd, Lakeland, FL 33815, USA",Roofing Contractor,(863) 686-3300,,,5,29,ChIJdVhcaJo43YgRxeiA3JPTl34
Goff Roof Systems,"1725 E Gary Rd, Lakeland, FL 33801, USA",Roofing Contractor,(863) 680-1748,https://goffroofsystems.com/,info@goffroofsystems.com,4.6,56,ChIJyYC0QWg_3YgRUODkjH2w1VM
Central Florida Exterior Inc.,"1324 Olive St, Lakeland, FL 33815, USA",Roofing Contractor,(813) 478-9229,https://cfexterior.com/,david@cfexterior.com,4.7,72,ChIJXzVMjuo43YgRYHlZ5LOresQ
America Top Roofing,"2420 N Crystal Lake Dr suite 204, Lakeland, FL 33801, USA",Roofing Contractor,(863) 733-2171,https://americatoproofing.com/,info@americatoproofing.com,5,75,ChIJ7xdWJthAwEwRxlN3TZOO_Ec
Lakeland Roofing Solutions,"304 E Pine St #1211, Lakeland, FL 33801, USA",Roofing Contractor,(407) 490-2459,http://www.lakelandroofingsolutions.com/,lakelandroofingsolutions@gmail.com,5,2,ChIJSXkd8js53YgRmi0V6zBumGo
Lakeland Roofing Consultants,"825 E Main St # 210, Lakeland, FL 33801, USA",Roofing Contractor,(863) 279-4604,https://lakelandroofingconsultants.com/,,5,6,ChIJxdmAYUk_3YgR0PV4BU56xAM
Statewide Roofing & Sheet Metal Inc.,"851 Plateau Ave, Lakeland, FL 33815, USA",Roofing Contractor,(863) 686-1451,http://www.swrflorida.com/,sebastian@aldusleaf.org,4.8,42,ChIJMwJqs_E43YgRQ23ynDEX-f0
ROMEO'S ROOFING LLC,"1815 Thornhill Rd Suite 309T, Auburndale, FL 33823, USA",Roofing Contractor,(863) 593-7808,http://romeosroofing.com/,,4.6,34,ChIJ35nIQ65s3YgRst16aW0A6dc
Stormwall Roofing,"1065 Florida Ave S, Lakeland, FL 33803, USA",Roof Repair,(863) 937-9774,https://stormwallroofing.com/,,5,5,ChIJG_8HW1Y53YgRokMoc3J6Ob8
Steel Roofing Systems,"3049 Drane Field Rd, Lakeland, FL 33811, USA",Metal Roofing,(863) 701-7170,,,4.9,40,ChIJj_krAZg53YgRmGuU45AiCF8
Advanced Aluminum of Polk County,"2941 Parkway St, Lakeland, FL 33811, USA",Metal Roofing,(863) 648-5787,https://www.advaluminum.com/?utm_source=google&utm_medium=local,,4.4,38,ChIJUdvOm5k53YgRW20AAYYiOqM
River Mountain Metal Roofing,"3009 Brooks St Bay 4-5, Lakeland, FL 33803, USA",Metal Roofing,(863) 337-1303,http://www.rivermountainmetalroofing.com/,,5,1,ChIJ90oa3-M_3YgRGguICfLZwH0
Cheap Metal Roofing,"3399 Paul Buchman Hwy, Plant City, FL 33565, USA",Metal Roofing,(813) 752-7088,https://discountmetalmart.com/,sales@discountmetalmart.com,4.6,22,ChIJpegHpt813YgRmREBeh2NPgw
R F Lusa & Sons Sheet Metal,"1724 Fairbanks St, Lakeland, FL 33805, USA",Metal Roofing,(863) 682-0798,http://rflusa.com/,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,4.5,21,ChIJwVXnImJH3YgRbywakrWGcqI
Discount Metal Mart,"3399 Paul Buchman Hwy, Plant City, FL 33565, USA",Metal Roofing,(813) 752-7088,https://discountmetalmart.com/,sales@discountmetalmart.com,4.3,47,ChIJ_0fAXd413YgRMRuoZXT660c
Tri County Metals,"5577 E County Rd 542, Winter Haven, FL 33880, USA",Metal Roofing,(863) 377-2805,https://tricountymetals.com/,okeechobee@tricountymetals.com,4.9,74,ChIJhcGmtyYV3YgRNDlMmIaoHEE
"O'Neal's Roofing Co. of Lakeland, Inc.","6950 Barbara Jean Ln, Polk City, FL 33868, USA",Metal Roofing,(863) 557-0288,http://www.onealsroofing.com/,onealsroofing@gmail.com,4.9,80,ChIJf8xMyStn3YgRNTMkTY0WgjU
SRS Building Products,"4401 US-92, Lakeland, FL 33801, USA",Metal Roofing,(863) 393-0093,https://www.srsdistribution.com/en/markets/our-brands/SRAUB/,kevin.townsend@srsbuildingproducts.com,4.4,34,ChIJM_qUXDg43YgRWcUv12AegkQ
Precision Metal Roofing,"38623 Harlow Rose Dr, Zephyrhills, FL 33540, USA",Metal Roofing,(727) 349-3104,https://metalroofingpascocounty.com/,,5,45,ChIJIfSKjqRN3YgR1Gvq_wo_W_4
Springer Peterson Roofing,"4410 Maine Ave, Lakeland, FL 33801, USA",Metal Roofing,(800) 244-1163,https://springerpeterson.com/,info@springerpeterson.com,3.5,37,ChIJB26b1Sw-3YgRo4-4u5mj9_o
Lakeland Electrician Guys,"2115 Harden Blvd, Lakeland, FL 33803, USA",Electrician,(863) 356-0154,https://www.lakelandelectricianpros.com/,,5,39,ChIJLUecOttVi4gRIPlDob8dSYQ
"Aveco Electrical, Inc.","4318 Holden Rd, Lakeland, FL 33811, USA",Electrician,(863) 225-5912,http://www.avecoinc.com/,service@avecoinc.com,4.9,92,ChIJPSmLVOQ73YgRBgD3JcUtMK4
Atline Electric Services,"1745 E Memorial Blvd, Lakeland, FL 33801, USA",Electrician,(863) 934-1337,http://atlineelectric.com/#GMB,atlineelectric@yahoo.com,4.9,228,ChIJ00wEFgVH3YgR3yF7r2gSnkc
Lewman Electric,"2930 Barneys Pumps Pl, Lakeland, FL 33812, USA",Electrician,(863) 398-0495,http://www.lewmanelectric.com/?utm_source=gbp&utm_medium=organic&utm_campaign=GoogleBusinessProfile,sebastian@aldusleaf.org,4.8,412,ChIJwfFf-tI93YgRC5JFtpCgDKM
Mister Sparky,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Electrician,(863) 213-0430,https://lakelandmistersparky.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,,4.9,1636,ChIJ00t9JFZH3YgR9CCtlkndgMk
Always Faithful Electrical,"5337 N Socrum Loop Rd Suite 302, Lakeland, FL 33809, USA",Electrician,(863) 224-2298,https://alwaysfaithfulelectrical.com/,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,4.9,85,ChIJn4b4AN5lQk4RMf18PrkEWBU
Wilson Electric Company,"230 N Ingraham Ave, Lakeland, FL 33801, USA",Electrician,(863) 682-0158,http://www.wilsonelectriccompany.com/?utm_campaign=gmb,,4.6,86,ChIJMRSjJ08_3YgRyrPAl0TJglY
LOOK Electric Co.,"1220 George Jenkins Blvd, Lakeland, FL 33815, USA",Electrician,(863) 859-2515,https://www.lookelectricco.com/,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,5,61,ChIJM1nj-cM53YgRzq3QA0bRYhg
Hylton Electric LLC,"122 E Main St #115, Lakeland, FL 33801, USA",Electrician,(863) 624-7000,https://www.hylton-electric.com/,,5,102,ChIJdwfXpWjZ2EQRBcWsDC0skVw
Mr. Electric of Lakeland,"4927 Southfork Dr, Lakeland, FL 33813, USA",Electrician,(863) 274-3137,https://mrelectric.com/lakeland/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,,4.8,454,ChIJZStU2HI53YgRJngS3-9oqBI
Electrical Service & Supply,"3532 Waterfield Pkwy, Lakeland, FL 33803, USA",Electrician,(863) 899-1438,https://electricalservicesupply.com/,,5,25,ChIJTbjMr0U-3YgRk7nQZHfKQB0
DOC Electric,"1845 Gibsonia-Galloway Rd, Lakeland, FL 33810, USA",Electrician,(863) 616-3003,https://www.docelectricalservices.com/,service@docelectricalservices.com,5,316,ChIJ1SsoqXM73YgRpRn87pZIgeg
Leaf Electric,"2020 S Combee Rd #20, Lakeland, FL 33801, USA",Electrician,(863) 377-0217,https://leafelectricfl.com/,leafelectricinfo@gmail.com,5,23,ChIJv2cpyI8_3YgR-vY6j6PlUEE
Bear Electric,"3237 US-98, Lakeland, FL 33803, USA",Electrician,(863) 329-2327,http://www.bearelectricllc.com/,,5,17,ChIJkwGGMPaco4oRVA-O5Q_8pv4
Mirtil Electric LLC,"930 Wilder Rd, Lakeland, FL 33809, USA",Electrician,(863) 614-8911,https://mirtilelectric.com/,mirtilelectricllc@gmail.com,5,29,ChIJyR2S9RBH3YgRixbWJkrYmM8
AEI Electrical,"4334 Holden Rd, Lakeland, FL 33811, USA",Electrician,(863) 619-6909,http://aei-electric.com/,,4.8,20,ChIJ5xYal5w53YgRLkFUnfhPFxE
Top Flight Electric,"146 Horizon Ct Suite B, Lakeland, FL 33813, USA",Electrician,(863) 313-0005,https://topflightelectric.com/,,4.2,5,ChIJc6ws9Gc53YgR-rx2-scYloM
Golden Electrician Service,"112 S Kentucky Ave, Lakeland, FL 33801, USA",Electrician,(863) 302-8631,,,4,5,ChIJ5X8DM7I53YgRPvU1P18--h8
"Lamar Olliff Electric, Inc.","3375 US-98 C5, Lakeland, FL 33803, USA",Electrician,(863) 666-5773,,,4.7,13,ChIJF1ljbZw_3YgRr1hS2PRHufQ
Fore Electric & Energy LLC,"2006 Edenfield Pl, Lakeland, FL 33801, USA",Electrician,(863) 937-9149,http://www.fore-electric.com/,info@fore-electric.com,3.9,41,ChIJiTzUaf0-3YgRj-lnxHVkRkY
Roberts Electrical Services Inc,"5311 Kinsley Ln, Lakeland, FL 33812, USA",Electrical Repair,(863) 648-0056,,,4.4,28,ChIJSesZ98M-3YgRJQFc1_VfWfQ
Natural Electric LLC,"2850 Mine and Mill Rd Ste 8, Lakeland, FL 33801, USA",Electrical Contractor,(863) 221-5059,https://usmapiz.org/details/natural-electric-llc-ChIJFam,,3.8,16,ChIJFam7CWMT3YgRJO74heHDfHs
Dave's Pest Control - Lakeland,"5675 New Tampa Hwy Suite #3, Lakeland, FL 33815, USA",Pest Control,(863) 665-1500,https://www.davespestcontrol.com/pest-control-lakeland/,,4.8,219,ChIJRWs1OeI53YgRz1I_-zMDQAg
Anti-Pesto Bug Killers Inc,"2420 N Crystal Lake Dr STE 202, Lakeland, FL 33801, USA",Pest Control,(863) 393-0300,https://www.antipesto.com/lakeland-fl-pest-control,,5,501,ChIJG9c27Nw_3YgRpQRuYljXuuo
Truly Nolen Pest & Termite Control,"2320 E Edgewood Dr, Lakeland, FL 33803, USA",Pest Control,(863) 683-7378,https://locations.trulynolen.com/fl/lakeland/lakeland-032.html?utm_source=local&utm_medium=organic&utm_campaign=googlemybusiness,info@trulynolen.com,4.7,1005,ChIJR4O7vs043YgRhYPUu4NlSI8
HomeTeam Pest Defense,"2315 Commerce Point Dr Suite 140, Lakeland, FL 33801, USA",Pest Control,(863) 519-5029,https://pestdefense.com/lakeland/?utm_source=google&utm_medium=organic&utm_campaign=gbp,techdev@deyogroup.com,4.8,1314,ChIJaRYRHbAW3YgRnLazzFU27Vs
All Out Pest Supply,"2120 E Edgewood Dr Suite 1, Lakeland, FL 33803, USA",Pest Control,(863) 409-2903,,,4.9,18,ChIJZ1HAaKg_3YgRIhpcj-sTiP0
VPM Pest Solutions Inc,"1721 Huntington St, Lakeland, FL 33801, USA",Pest Control,(863) 206-6878,https://vpmpestsolutions.com/?utm_source=local&utm_medium=organic&utm_campaign=gbp,,5,59,ChIJx4JA9WMN3YgRC-UJbch71dY
Florida Pestworx,"4237 Homewood Ln, Lakeland, FL 33811, USA",Pest Control,(863) 738-1270,http://www.flpestworx.com/,flpestworx@gmail.com,5,129,ChIJSZhWofOrvW0Ri2IePE_J-IA
All Pest Off,"6901 Dove Meadow Trail, Lakeland, FL 33810, USA",Pest Control,(863) 940-4586,https://www.allpestoff.com/,,4.9,129,ChIJn1s7EotH3YgRzbvrsweu37o
Terminix,"3903 Industry Blvd, Lakeland, FL 33811, USA",Pest Control,(321) 732-6763,https://www.terminix.com/exterminators/fl/lakeland-25915/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=satellite_25915&utm_term=lakeland,,4.9,204,ChIJF6itVK853YgRtHL5MiWt14Q
"US Bug Squad, LLC","5337 N Socrum Loop Rd #258, Lakeland, FL 33809, USA",Pest Control,(863) 853-5000,http://www.usbugsquad.com/,,4.8,188,ChIJYe5TqylB3YgRk_KWOoDyVqU
Gems Pest Supply,"2120 E Edgewood Dr, Lakeland, FL 33803, USA",Pest Control,(863) 409-2903,,,4.9,8,ChIJjWk5b6g_3YgRl10VmJAsiJ4
Revolution Pest Services,"2415 Mosswood Ln, Lakeland, FL 33801, USA",Pest Control,(863) 777-0653,http://www.facebook.com/revolutionpestservices,,5,14,ChIJ74yxnxRdfwsRdzP2k3vUm4M
Bee Serious Bee Removal,"122 E Main St #239, Lakeland, FL 33801, USA",Pest Control,(407) 943-4515,https://beeseriousfl.com/,jason@beeseriousfl.com,4.9,51,ChIJLzI4WbQ43YgRbiRV6DS3OiQ
Peninsular Exterminating,"2728 Industrial Park Dr, Lakeland, FL 33801, USA",Pest Control,(863) 665-4722,http://peninsularexterminating.com/,,5,7,ChIJyfof6qg_3YgRZe46UKNrDzY
Absolute Termite and Pests LLC,"1215 Baker Dr, Lakeland, FL 33810, USA",Pest Control,(863) 800-9618,http://www.absolutetermiteandpestsllc.com/,,4.5,73,ChIJ8_iXzURH3YgRENA-TKK4dM0
Country Boy Pest Control LLC.,"2103 K-Ville Ave, Auburndale, FL 33823, USA",Pest Control,(863) 356-1616,https://www.countryboypestcontrol.com/,,4.9,404,ChIJB7lVByoS3YgRV1ubSc_Twts
Futch Pest Control,"904 Demington St, Lakeland, FL 33803, USA",Pest Control,,,,5,1,ChIJjw4w-zI_3YgRb4TZWrEaOx8
iCi Termite & Pest Control Inc.,"3240 Recker Hwy, Winter Haven, FL 33880, USA",Termite Control,(863) 219-0998,https://www.icitermiteandpestcontrol.com/,,4.9,192,ChIJhblpm90U3YgRxzYuIyG40JI
Terminix,"3891 Recker Hwy, Winter Haven, FL 33880, USA",Termite Control,(863) 240-0496,https://www.terminix.com/exterminators/fl/lakeland-2591/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=local&utm_term=lakeland,,4.9,3212,ChIJ4031DKA53YgR5hUeclA6S7o
"Total Pest Solutions, Inc.","709 Old Polk City Rd, Lake Alfred, FL 33850, USA",Termite Control,(863) 585-3636,https://totalpestsolutionsfl.com/,service@totalpestsolutionsfl.com,4.9,503,ChIJE_SGcvFu3YgRuUsaDXg4uHA
