Phone,Business Name,Category,Address
(863) 431-8656,The Park at Palazzo Apartment Homes,Establishment,"3685 Victoria Manor Dr, Lakeland, FL 33805, USA"
(863) 292-6319,Arbor Glen Apartments,Establishment,"4950 Deep Forest Ct, Lakeland, FL 33805, USA"
(877) 629-2941,Prospect Lake Wire Apartments,Establishment,"380 Lake Wire Dr, Lakeland, FL 33815, USA"
(863) 509-4960,The Caroline Apartments,Establishment,"1906 Griffin Rd, Lakeland, FL 33810, USA"
(863) 509-5492,Lakeland Landing,Establishment,"4355 Corporate Ave, Lakeland, FL 33809, USA"
(855) 951-4333,Big Oaks,Establishment,"1510 Big Oaks Dr, Lakeland, FL 33810, USA"
(855) 774-1845,Reserve at Lakeland Apartments,Establishment,"5233 US-98, Lakeland, FL 33809, USA"
(863) 208-6588,Mirrorton Apartments,Establishment,"309 Mirrorton Ave, Lakeland, FL 33801, USA"
(863) 695-1544,Carlton Arms of North Lakeland,Establishment,"4500 Williamstown Blvd, Lakeland, FL 33810, USA"
(863) 614-1867,Regency Apartments,Establishment,"140 Glendale St, Lakeland, FL 33803, USA"
(863) 230-8001,Royal Oak Apartments,Establishment,"923 E Lemon St, Lakeland, FL 33801, USA"
(863) 606-0102,Edgewood Apartments,Establishment,"2050 E Edgewood Dr, Lakeland, FL 33803, USA"
(863) 474-9593,Water's Edge Apartments,Establishment,"3625 New Jersey Rd, Lakeland, FL 33803, USA"
(863) 656-0350,Fountain Square Apartments,Establishment,"225 E Edgewood Dr, Lakeland, FL 33803, USA"
(863) 859-2321,Storage King USA,Establishment,"9010 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 279-4087,First Choice Mini Storage,Establishment,"8315 FL-33, Lakeland, FL 33809, USA"
(863) 858-2650,Century Boat & RV Storage,Establishment,"5915 Walt Loop Rd, Lakeland, FL 33809, USA"
(863) 815-4324,Murphy USA,Convenience Store,"5720 US Hwy 98 N, Lakeland, FL 33809, USA"
(404) 829-6381,RaceTrac,Cafe,"6650 US Hwy 98 N, Lakeland, FL 33810, USA"
(863) 853-3250,Gas Station,Establishment,"4655 N Socrum Loop Rd, Lakeland, FL 33809, USA"
(863) 940-9071,MARATHON,Convenience Store,"111 Marcum Rd #4302, Lakeland, FL 33809, USA"
(863) 853-8592,Sam's Club Gas Station,Establishment,"4600 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 858-3730,Mobil,Establishment,"5870 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 859-2397,Mobil,Establishment,"6655 N Socrum Loop Rd, Lakeland, FL 33809, USA"
(863) 859-1056,Marathon,Establishment,"4718 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 816-4775,Nick & Moes 003 (US HWY 98 Lakeland),Establishment,"2750 US Hwy 98 N, Lakeland, FL 33805, USA"
(863) 859-9461,Circle K,Atm,"7250 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 815-4480,7-Eleven Fuel,Establishment,"290 Lakeland Park Blvd @, N Socrum Loop Rd, Lakeland, FL 33809, USA"
(863) 680-1425,Marathon Gas Station,Establishment,"1201 Florida Ave S, Lakeland, FL 33803, USA"
(863) 815-2707,Circle K | Gas Station,Establishment,"1026 Walt Williams Rd, Lakeland, FL 33809, USA"
(863) 940-3697,Chevron,Establishment,"3250 US Hwy 98 N, Lakeland, FL 33805, USA"
(863) 858-3685,Circle K,Atm,"8324 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 940-2825,SA Beverage Castle.,Convenience Store,"1200 W Daughtery Rd, Lakeland, FL 33810, USA"
(863) 816-1181,One Stop Shop,Atm,"3029 Duff Rd, Lakeland, FL 33810, USA"
(863) 853-9384,Kathleen Food Mart,Convenience Store,"6403 Kathleen Rd, Lakeland, FL 33810, USA"
(863) 686-3384,"ARIANA FRIENDS, INC",Establishment,"1202 Ariana St, Lakeland, FL 33803, USA"
(863) 500-4235,Tobacco Depot,Establishment,"6601 N Socrum Loop Rd Unit #203, Lakeland, FL 33809, USA"
(863) 687-4168,LaFamosa Cigars & Pipe Tobacco,Establishment,"2118 Florida Ave S, Lakeland, FL 33803, USA"
(863) 859-2548,Publix Liquors at Lake Gibson Shopping Center,Establishment,"6755 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 859-3626,Walmart Wine and Liquor,Establishment,"5800 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 450-2933,Griffith Alteration TAILORING,Establishment,"5512 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 683-6572,Lakeland Fashion,Establishment,"1525 W Memorial Blvd, Lakeland, FL 33815, USA"
(863) 687-2814,Alterations To Go,Establishment,"821 N Lake Parker Ave, Lakeland, FL 33801, USA"
(863) 333-0068,"NYC Alterations, LLC",Establishment,"2160 Co Rd 540A, Lakeland, FL 33813, USA"
(863) 682-0176,SEWBOX,Clothing Store,"2929 Florida Ave S Suite 5, Lakeland, FL 33803, USA"
(863) 425-1921,Marlene's Alterations,Establishment,"206 W Badcock Blvd, Mulberry, FL 33860, USA"
(863) 701-2222,MDIZ Collection,Clothing Store,"6940 Florida Ave S, Lakeland, FL 33813, USA"
(786) 287-9173,ALTERATIONS BY ANNIS THE TAILOR,Clothing Store,"4326 Wallace Rd, Lakeland, FL 33812, USA"
(813) 516-2130,Sew 'N' Go Alterations,Establishment,"901 E Reynolds St, Plant City, FL 33563, USA"
(863) 815-4677,Park Avenue,Clothing Store,"3800 U.S. 98 #320, Lakeland, FL 33809, USA"
(863) 347-4387,Eva's Bridal & Alterations,Establishment,"6970 Appaloosa Dr Suite 3, Lakeland, FL 33811, USA"
(863) 666-6994,Emo's Upholstery,Car Repair,"1641 N Combee Rd, Lakeland, FL 33801, USA"
(863) 683-4108,J & B Upholstery,Car Repair,"1223 George Jenkins Blvd, Lakeland, FL 33815, USA"
(863) 937-9330,Pegg's Auto Upholstery,Car Repair,"823 N Lake Parker Ave, Lakeland, FL 33801, USA"
(813) 290-1946,AZ Upholstery Group,Establishment,"612 N Ingraham Ave, Lakeland, FL 33801, USA"
(863) 738-0014,Stitches Restoration,Establishment,"2711 Industrial Park Dr, Lakeland, FL 33801, USA"
(432) 248-1575,Jdean Upholstery,Establishment,"755 Creative Dr, Lakeland, FL 33813, USA"
(863) 646-0966,D & L Upholstery,Establishment,"4450 Coachwood Ln, Mulberry, FL 33860, USA"
(863) 330-9177,Phillip's Auto Upholstery,Car Repair,"2401 Pinewood Dr, Auburndale, FL 33823, USA"
(863) 345-0183,Encore Furniture Restoration,Establishment,"8028 Settlers Creek Ln, Lakeland, FL 33810, USA"
(863) 802-5357,Florida Paints - Lakeland,Establishment,"1737 E Edgewood Dr, Lakeland, FL 33803, USA"
(863) 853-2765,Sherwin-Williams Paint Store,Establishment,"5611 US Hwy 98 N, Lakeland, FL 33809, USA"
(800) 262-8025,Ben's Paint Supply,Establishment,"1453 E Gary Rd, Lakeland, FL 33801, USA"
(863) 688-1917,PPG Paint Store,Establishment,"316 S Lake Parker Ave, Lakeland, FL 33801, USA"
(863) 686-4137,Sherwin-Williams Commercial Paint Store,Establishment,"617 Florida Ave S, Lakeland, FL 33801, USA"
(863) 450-2805,National Coatings & Supplies,Car Repair,"4000 N Combee Rd suite 100, Lakeland, FL 33805, USA"
(863) 688-1643,Econo Auto Painting,Car Repair,"1822 W Memorial Blvd, Lakeland, FL 33815, USA"
(863) 337-7655,Sherwin-Williams Commercial Paint Store,Establishment,"3545 US-98, Lakeland, FL 33809, USA"
(863) 644-3232,Sherwin-Williams Paint Store,Establishment,"5717 Florida Ave S, Lakeland, FL 33813, USA"
(863) 614-1349,Maaco Auto Body Shop & Painting,Car Repair,"1120 George Jenkins Blvd, Lakeland, FL 33815, USA"
(863) 665-6311,"Ridge Lumber & Treating, Inc.",Establishment,"2430 McJunkin Rd, Lakeland, FL 33803, USA"
(863) 984-0859,Mid-South Lumber Co,Establishment,"3685 Old Polk City Rd, Lakeland, FL 33809, USA"
(863) 688-1301,Hicks Welding,Establishment,"1723 W Memorial Blvd, Lakeland, FL 33815, USA"
(863) 665-0135,Bob's Welding Fabrication and Maintenance Inc,Establishment,"542 S Combee Rd, Lakeland, FL 33801, USA"
(863) 934-1786,Moore's Welding & Iron Work,Establishment,"2714 Providence Rd, Lakeland, FL 33805, USA"
(863) 450-0752,Waters Welding & Fabrication LLC,Establishment,"10046 Moore Rd, Lakeland, FL 33809, USA"
(863) 701-4801,ARC WELDING INC.,Establishment,"1113 N Grady Ave, Lakeland, FL 33805, USA"
(863) 205-4278,Whatley Metal Works LLC Welding and Fabrication,Establishment,"3643 Opal Dr, Mulberry, FL 33860, USA"
(813) 363-0336,"4th Dimension Fab, LLC",Establishment,"3615 Century Blvd, Lakeland, FL 33811, USA"
(863) 944-0594,The Custom Shoppe LLC,Establishment,"2960 Parkway St, Lakeland, FL 33811, USA"
(863) 602-5251,Dale's Welding & Fabrication,Establishment,"9432 Tom Costine Rd, Lakeland, FL 33809, USA"
(813) 433-6869,Elite Welding Services LLC,Establishment,"4320 FL-60, Mulberry, FL 33860, USA"
(863) 608-7600,Norse Metals LLC,Establishment,"2324 Old Combee Rd Apartment 107, Lakeland, FL 33805, USA"
(863) 232-7079,Kirkland welding and fabrication,Establishment,"10037 Rachel Cherie Dr, Polk City, FL 33868, USA"
(863) 640-3247,KT of Central Florida Welding and Fabrication,Car Repair,"15510 Brahma Rd, Polk City, FL 33868, USA"
(863) 425-3198,P & A Welding,Establishment,"2805 FL-60, Mulberry, FL 33860, USA"
(863) 425-3305,Bnj Welder Repair Inc,Establishment,"1110 Kingsford Cir, Mulberry, FL 33860, USA"
(863) 514-9630,AJ's Fabrication,Establishment,"5754 State Road 542 West #2, Winter Haven, FL 33880, USA"
(863) 644-8432,Specialty Fabrication LLC,Establishment,"4015 Drane Field Rd, Lakeland, FL 33811, USA"
(863) 965-8423,Crumpton Welding Supplies,Establishment,"601 Charlotte Rd, Auburndale, FL 33823, USA"
(863) 667-1004,Narramore Machine Shop,Car Repair,"2770 Industrial Park Dr, Lakeland, FL 33801, USA"
(863) 701-2291,Independent Machine Works,Establishment,"2810 Parkway St #8, Lakeland, FL 33811, USA"
(863) 665-7156,Lesnett's Machinery,Establishment,"2910 E Main St, Lakeland, FL 33801, USA"
(863) 644-2815,"J C Machine, Inc.",Establishment,"3620 Airport Rd, Lakeland, FL 33811, USA"
(800) 958-5093,"Turn and Burn Metalworks, LLC",Establishment,"8008 Apache Ln, Lakeland, FL 33810, USA"
(863) 899-0024,Imamillin Machine Services,Establishment,"8157 Westmont Ave, Lakeland, FL 33810, USA"
(863) 458-7098,Angelo&Lou's mechanic shop,Car Repair,"916 Amick Loop, Lakeland, FL 33815, USA"
(863) 665-1711,Southern Machinery Corporation,Establishment,"2855 Brooks St, Lakeland, FL 33803, USA"
(863) 665-7867,Tencarva Machinery Company,Establishment,"3524 Craftsman Blvd, Lakeland, FL 33803, USA"
(863) 529-3420,Southern Machining Solutions,Establishment,"4442 Holden Rd, Lakeland, FL 33811, USA"
(863) 248-2424,Smith Challenger Manufacturing and Services,Establishment,"3434 Waterfield Rd, Lakeland, FL 33803, USA"
(863) 210-5384,Cherokee Manufacturing,Establishment,"3919 Air Park Dr, Lakeland, FL 33811, USA"
(863) 937-8928,Keller Manufacturing Inc.,Establishment,"4442 Holden Rd, Lakeland, FL 33811, USA"
(863) 248-2624,Smith Challenger Manufacturing & Services Inc,Establishment,"3434 Waterfield Rd, Lakeland, FL 33803, USA"
(800) 788-3951,Maclan Corporation,Establishment,"1808 S Combee Rd, Lakeland, FL 33801, USA"
(863) 688-1983,Plastic Trading International Inc,Establishment,"3612 Ventura Dr E, Lakeland, FL 33811, USA"
(863) 687-4110,"Integrated Metal Products, Inc.",Establishment,"2923 Old Tampa Hwy, Lakeland, FL 33803, USA"
(863) 646-8551,Industrial Plastic Systems,Establishment,"4225 Drane Field Rd, Lakeland, FL 33811, USA"
(863) 619-8617,Quadra Manufacturing Inc,Establishment,"4411 Holden Rd, Lakeland, FL 33811, USA"
(863) 688-3330,Solara Industries,Establishment,"4343 Frontage Rd N, Lakeland, FL 33815, USA"
(863) 576-1627,Quaker Distribution Warehouse,Establishment,"8054 State Rd 33 N, Lakeland, FL 33809, USA"
(863) 682-1442,Lakeland Fulfillment Center,Establishment,"1110 County Line Rd, Lakeland, FL 33815, USA"
(863) 688-1188,PUBLIX DC DRY WAREHOUSE (COUNTY LINE RD),Establishment,"2600 County Line Rd, Lakeland, FL 33811, USA"
(407) 715-7187,Publix Chart Warehouse,Establishment,"1936 George Jenkins Blvd, Lakeland, FL 33815, USA"
(863) 276-8000,HCA Lakeland Supply Chain,Establishment,"6445 Tradeport Dr, Lakeland, FL 33805, USA"
(888) 280-3321,TPA2 amazon,Establishment,"1760 County Line Rd, Lakeland, FL 33811, USA"
(863) 667-1136,Sam's Club Distribution Center,Establishment,"3010 Saddle Creek Rd, Lakeland, FL 33801, USA"
(863) 680-1710,Havertys Distribution Center,Establishment,"7100 Havertys Way, Lakeland, FL 33805, USA"
(863) 686-3737,Rooms To Go Distribution Center,Establishment,"1475 Airport Rd, Lakeland, FL 33811, USA"
(814) 818-3600,Publix Frozen Foods Warehouse gate 7,Establishment,"3045 New Tampa Hwy, Lakeland, FL 33815, USA"
(863) 766-2321,Speedy Car Shipping Lakeland,Establishment,"728 S New York Ave, Lakeland, FL 33815, USA"
(863) 606-0011,Old Dominion Freight Line,Establishment,"5260 N Combee Rd, Lakeland, FL 33805, USA"
(863) 688-1174,UPS Authorized Shipping Outlet,Establishment,"304 E Pine St, Lakeland, FL 33801, USA"
(800) 463-3339,FedEx ShipSite,Establishment,"2527 Florida Ave S, Lakeland, FL 33803, USA"
(863) 583-4607,"US Logistics Solutions, Inc.",Establishment,"2825 Drane Field Rd, Lakeland, FL 33811, USA"
(863) 683-7181,Trevlloy Shipping Inc,Establishment,"830 N Wabash Ave, Lakeland, FL 33815, USA"
(863) 666-3160,"Werner Enterprises, Inc",Establishment,"742 S Combee Rd, Lakeland, FL 33801, USA"
(863) 816-4277,UPS Authorized Shipping Outlet,Establishment,"7364 Kathleen Rd, Lakeland, FL 33810, USA"
(888) 258-7875,Blue Streak Couriers,Establishment,"2200 Heritage Dr, Lakeland, FL 33801, USA"
(863) 216-2221,Sunshine Auto Transport's Lakeland,Establishment,"1003 Florida Ave S, Lakeland, FL 33803, USA"
(863) 686-6142,W R Transport Inc,Establishment,"7655 New Tampa Hwy, Lakeland, FL 33815, USA"
(800) 443-3798,Exxact Express,Establishment,"1025 N Chestnut Rd, Lakeland, FL 33805, USA"
(800) 734-8170,Knight Transportation,Establishment,"4045 Old Tampa Hwy, Lakeland, FL 33811, USA"
(800) 741-7950,Bynum Transport,Establishment,"70 Thornhill Rd, Auburndale, FL 33823, USA"
(407) 292-3932,XGS - Lakeland,Establishment,"7270 Bridgewater Center Dr, Lakeland, FL 33805, USA"
(863) 500-8761,TCI Transportation,Establishment,"6300 New Tampa Hwy, Lakeland, FL 33815, USA"
(863) 984-4811,R+L Carriers,Establishment,"8425 Epicenter Blvd, Lakeland, FL 33809, USA"
(888) 983-3033,"Fusion Logistics Services, LLC",Establishment,"1212 E Main St, Lakeland, FL 33801, USA"
(863) 682-8948,Hayes & Hayes Trucking Inc,Establishment,"1115 Kathleen Rd, Lakeland, FL 33805, USA"
(863) 577-4700,"Hogan Truck Leasing & Rental: Lakeland, FL",Establishment,"660 McCue Rd, Lakeland, FL 33815, USA"
(863) 284-1011,Destiny Trucking Inc,Establishment,"2946 N Martha Ave, Lakeland, FL 33805, USA"
(800) 806-4917,Stevens Drop Yard,Establishment,"2901 Swindell Rd, Lakeland, FL 33805, USA"
(419) 925-4799,Moeller Trucking Inc,Establishment,"2996 Bannon Island Rd, Haines City, FL 33844, USA"
(863) 534-1575,Trans Phos Inc,Establishment,"5020 Old State Hwy 37, Mulberry, FL 33860, USA"
(855) 634-2875,Mega Trucking LLC,Establishment,"509 US-92, Auburndale, FL 33823, USA"
(863) 682-3973,Busy Beaver Express Inc,Establishment,"Lakeland, FL 33801, USA"
(863) 315-1054,Lakeland Multiservice LLC,Establishment,"1123 Walt Williams Rd #129, Lakeland, FL 33809, USA"
(800) 742-5877,UPS Access Point location,Establishment,"6105 US Hwy 98 N, Lakeland, FL 33809, USA"
(561) 223-9457,JL Express Courier Service,Establishment,"2321 Hunter St, Lakeland, FL 33803, USA"
(863) 665-4887,Little & Co Inc,Establishment,"3232 Maine Ave, Lakeland, FL 33801, USA"
(863) 397-8497,Northstar Packaging Products & Shipping Supplies,Establishment,"3888 Industry Blvd, Lakeland, FL 33811, USA"
(863) 802-1722,Monte Package Co,Establishment,"4300 Steward Rd, Lakeland, FL 33815, USA"
(863) 683-5490,Graham Packaging Co,Establishment,"1070 County Line Rd, Lakeland, FL 33815, USA"
(863) 284-2311,MaxPak Gateland Fulfillment - A TRG Company,Establishment,"4760 Gateland Dr, Lakeland, FL 33811, USA"
(863) 688-1200,Advanced Concept Innovations,Establishment,"4100 S Frontage Rd, Lakeland, FL 33815, USA"
(800) 277-7007,IPS Packaging & Automation,Establishment,"1641 S County Line Rd, Plant City, FL 33566, USA"
(607) 288-2216,American Bubble Boy 6,Establishment,"4725 Lakeland Commerce Pkwy Bay 15-16, Lakeland, FL 33805, USA"
(863) 688-6596,Moving Supplies at U-Haul,Establishment,"2525 US Hwy 98 N, Lakeland, FL 33810, USA"
(888) 247-2415,TriSupplies,Establishment,"2401 Drane Field Rd, Lakeland, FL 33811, USA"
(863) 965-2500,Packaging Corporation of America,Establishment,"2155 42nd St NW, Winter Haven, FL 33881, USA"
(813) 759-2503,Plastipak Packaging Inc,Establishment,"4211 Amberjack Blvd, Plant City, FL 33566, USA"
(813) 752-8777,Gulf Coast Cooling and Packaging,Establishment,"203 E Terrace Dr, Plant City, FL 33563, USA"
(800) 518-6305,Premier Packaging,Establishment,"2401 Police Center Dr, Plant City, FL 33566, USA"
(863) 686-1799,GLT Total Office,Establishment,"2929 S Combee Rd, Lakeland, FL 33803, USA"
(863) 644-5676,Walmart Business Center,Electronics Store,"3501 Florida Ave S, Lakeland, FL 33803, USA"
(863) 648-2000,Premiere Commercial Furniture and Design,Establishment,"160 Fitzgerald Rd #3, Lakeland, FL 33813, USA"
(863) 646-7291,Elite Office Logistics,Establishment,"4779 Drane Field Rd, Lakeland, FL 33811, USA"
(863) 250-2062,1-800 Office Solutions,Establishment,"238 N Massachusetts Ave, Lakeland, FL 33801, USA"
(863) 859-0622,Best Buy,Electronics Store,"4215 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 616-9302,City Electric Supply Lakeland,Establishment,"1131 E Lime St, Lakeland, FL 33801, USA"
(863) 640-0068,Noboxy Appliances,Establishment,"5183 US Hwy 98 N, Lakeland, FL 33809, USA"
(645) 220-4433,The appliances Outlet 2,Establishment,"645 McCue Rd, Lakeland, FL 33815, USA"
(813) 295-9203,Lugo Used Appliances,Establishment,"4770 US-92, Plant City, FL 33563, USA"
(863) 858-8959,.,Establishment,"1209 Gibsonia-Galloway Rd, Lakeland, FL 33810, USA"
(786) 241-1927,WillyAppliances llc,Establishment,"1504 S Combee Rd, Lakeland, FL 33801, USA"
(863) 288-8780,D N S & More Used Appliance Store,Establishment,"2104 K-Ville Ave, Auburndale, FL 33823, USA"
(813) 752-9569,C & G New & Used Appliances,Establishment,"115 E Dr Martin Luther King Jr Blvd, Plant City, FL 33563, USA"
(786) 758-1262,Hernandez Used appliances,Establishment,"2025 Dundee Rd, Winter Haven, FL 33884, USA"
(863) 666-5441,SCP Distributors LLC,Establishment,"3146 Winter Lake Rd, Lakeland, FL 33803, USA"
(863) 858-3404,Pinch A Penny Pool Patio Spa,Establishment,"6140 US Hwy 98 N, Lakeland, FL 33809, USA"
(863) 940-9826,"Affordable Spas, Pools & Billiards of Central FL",Establishment,"2326 E Edgewood Dr, Lakeland, FL 33803, USA"
